partID,batch,TIPI1,TIPI2,TIPI3,TIPI4,TIPI5,TIPI6,TIPI7,TIPI8,TIPI9,TIPI10
30994539,3,6,2,4,2,6,4,4,4,3,5
62213461,3,5,7,4,6,4,5,5,7,6,5
18767993,3,5,2,6,2,5,4,6,2,5,3
22292503,3,1,3,6,6,1,2,6,4,7,7
84717247,3,5,4,5,4,5,3,5,3,5,4
24945455,3,2,5,3,2,5,1,5,2,3,6
61079649,3,4,7,7,4,4,1,4,6,7,4
95767784,3,5,6,3,2,6,6,6,5,3,6
71615292,3,7,6,7,5,7,2,7,7,6,7
62021565,3,5,5,6,6,4,2,6,7,6,6
21277282,3,5,1,4,3,6,1,6,3,4,3
76118298,3,5,2,7,1,6,3,7,2,7,2
26926336,3,6,3,3,2,7,6,6,7,2,6
73789958,3,3,6,6,6,7,2,6,6,6,7
92206545,3,7,7,5,7,7,4,7,7,7,7
65745492,3,3,5,3,4,5,3,3,4,6,3
65409431,3,5,3,4,6,5,3,5,2,5,6
53765662,3,6,3,6,4,5,6,7,4,3,7
42702521,3,6,3,6,2,6,3,6,2,5,2
66872257,3,6,7,7,7,6,3,7,7,6,7
24021342,3,5,4,5,2,5,4,2,5,2,5
67391917,3,5,4,6,5,5,5,6,3,2,3
29898807,3,4,5,5,3,4,3,5,5,3,4
87034126,3,7,7,7,7,6,1,7,7,7,7
43148944,3,5,2,2,2,5,3,3,4,5,6
83894653,3,5,6,3,6,3,4,3,4,5,4
88548663,3,6,5,7,2,7,7,3,7,6,5
38858144,3,7,4,7,2,7,3,6,4,5,4
73176244,3,6,6,7,6,7,2,5,6,5,6
44637383,3,5,2,5,4,5,2,5,3,6,2
15977809,3,6,6,6,6,6,6,6,6,6,6
33195823,3,5,5,6,3,5,4,6,4,5,5
72648276,3,,,,,,,,,,
61084537,3,7,7,7,7,7,4,7,7,7,7
84647428,3,6,4,6,4,6,4,6,6,6,6
77343044,3,6,6,6,4,4,3,3,6,4,5
29728175,3,6,7,7,6,6,7,7,3,7,6
44135941,3,1,7,5,3,6,2,6,3,3,5
92062908,3,6,6,7,4,5,6,5,7,6,4
46166977,3,2,5,3,5,3,6,3,5,2,5
59213392,3,5,3,5,4,4,4,4,3,6,2
71520575,3,7,7,7,7,7,7,7,7,7,7
92588869,3,7,7,6,7,7,6,7,7,6,7
94164982,3,7,7,7,7,7,7,7,7,7,7
93329751,3,5,4,3,3,5,4,6,3,5,4
54466188,3,7,3,5,6,6,7,5,3,7,2
59726137,3,6,6,4,4,5,6,5,5,4,6
51347077,3,7,6,6,3,7,3,7,6,6,6
96691440,3,7,6,7,2,7,2,6,7,7,7
25774306,3,5,5,4,5,2,5,4,5,4,3
88200803,3,4,5,5,2,6,2,6,4,5,5
30721604,3,5,6,5,5,5,3,5,6,5,5
11852797,3,6,3,3,3,5,6,4,3,4,6
73056860,3,6,2,6,2,6,2,7,1,7,1
86106228,3,7,7,7,7,7,4,4,7,6,7
91782492,3,6,6,5,6,7,5,6,6,7,4
23821899,3,4,5,4,3,5,4,3,5,5,3
26239899,3,4,6,5,6,3,3,5,5,5,4
79068288,3,5,7,6,4,6,6,6,6,6,6
60380292,3,3,7,5,6,4,1,6,6,6,6
96257643,3,6,6,6,5,6,6,3,7,6,7
98168361,3,7,1,5,7,6,6,1,6,7,3
13038476,3,5,3,7,2,6,2,7,5,2,3
12736297,3,1,3,1,1,3,1,1,5,1,5
27130640,3,6,4,6,3,6,6,5,3,1,7
91227476,3,3,2,5,3,7,3,5,6,6,3
50886568,3,7,5,4,7,7,5,7,3,7,2
82875110,3,4,4,5,4,6,3,4,5,4,4
17666892,3,2,6,5,3,7,1,3,6,6,2
25482629,3,4,6,5,6,5,6,5,6,6,4
42388913,3,2,3,5,3,6,1,5,2,2,5
40610970,3,5,7,7,3,7,1,7,7,6,7
49691717,3,5,2,7,6,7,2,6,7,6,6
80539446,3,6,6,6,3,5,3,5,6,5,6
36496066,3,6,7,6,6,5,6,6,6,6,6
64603180,3,7,7,6,7,5,3,6,7,7,4
27316890,3,3,4,5,3,6,2,6,2,5,3
76544194,3,6,2,6,3,4,3,4,3,6,4
11505443,3,6,3,6,6,6,6,4,5,4,4
26353078,3,5,7,6,6,7,5,6,7,6,7
67549594,3,3,6,7,1,7,1,7,3,3,2
39792884,3,6,6,7,7,6,1,7,7,7,6
50905215,3,7,6,3,4,7,4,7,3,4,7
18686701,3,7,7,7,6,6,7,7,7,4,7
41187657,3,7,7,7,2,6,2,7,7,6,7
56303231,3,7,6,6,6,7,1,7,6,7,7
32286108,3,5,3,5,4,5,4,4,5,6,5
42468616,3,6,4,7,5,5,5,5,7,5,4
81651047,3,3,4,5,4,5,2,6,4,5,2
47761867,3,4,3,3,3,4,2,4,3,2,4
34278517,3,2,5,3,3,6,2,6,3,5,7
49154475,3,1,6,4,2,3,1,3,4,3,4
85299743,3,3,7,1,1,2,1,6,1,1,7
93783768,3,6,6,7,6,6,4,5,6,6,5
57936599,3,6,3,6,5,3,5,6,5,5,5
51321110,3,1,5,4,2,5,1,5,3,4,5
84758741,3,1,7,5,3,3,1,7,3,3,4
44179400,3,5,6,6,4,5,4,6,6,4,4
74664937,3,1,7,4,2,5,3,5,3,4,4
15798026,3,4,3,5,2,5,4,5,2,5,3
49890284,3,6,7,7,7,6,7,7,7,6,7
78422370,3,6,3,6,1,7,2,5,3,7,2
77791421,3,5,2,7,1,6,2,5,1,7,2
85392192,3,1,4,4,7,4,1,7,7,7,5
22829271,3,6,5,6,5,6,3,6,5,6,5
25668768,3,6,4,5,5,4,3,4,5,6,2
75248519,3,6,6,6,6,4,4,5,5,5,4
20576232,3,3,4,4,4,5,5,2,3,4,4
94957122,3,5,6,6,5,6,5,7,6,5,7
43640341,3,4,7,7,6,6,3,7,7,6,7
84209053,3,1,6,5,4,5,1,5,3,7,6
64875130,3,3,3,6,4,5,1,6,7,5,1
26132219,3,1,7,1,7,1,1,1,7,7,7
94213596,3,2,6,5,3,4,3,5,4,3,2
33616448,3,4,5,5,4,5,3,4,5,3,3
24163353,3,7,7,7,7,7,4,7,7,7,7
24048874,3,5,2,7,4,3,3,2,7,5,4
38324630,3,1,5,2,1,1,1,4,4,1,1
84050865,3,6,2,6,2,6,2,6,2,6,2
24051389,1,5,5,5,4,6,2,7,2,6,7
