ID,Condition,MTurkTime,Gender,Age,SocialClass,Education,TIPI_O,TIPI_C,TIPI_E,TIPI_A,TIPI_N,RIBS_Tot,Task1,TaskType1,JS_Flu1,Flu1,Flex1,Orig1,OOI_Ord1,OOI_Lat1,OG_Orig1,OG_OOI_Ord1,OG_OOI_Lat1,OffWin1,ReadTime1,Task2,TaskType2,JS_Flu2,Flu2,Flex2,Orig2,OOI_Ord2,OOI_Lat2,OG_Orig2,OG_OOI_Ord2,OG_OOI_Lat2,OffWin2,ReadTime2,Task3,TaskType3,JS_Flu3,Flu3,Flex3,Orig3,OOI_Ord3,OOI_Lat3,OG_Orig3,OG_OOI_Ord3,OG_OOI_Lat3,OffWin3,ReadTime3,Task4,TaskType4,JS_Flu4,Flu4,Flex4,Orig4,OOI_Ord4,OOI_Lat4,OG_Orig4,OG_OOI_Ord4,OG_OOI_Lat4,OffWin4,ReadTime4,Task5,TaskType5,JS_Flu5,Flu5,Flex5,Orig5,OOI_Ord5,OOI_Lat5,OG_Orig5,OG_OOI_Ord5,OG_OOI_Lat5,OffWin5,ReadTime5,Task6,TaskType6,JS_Flu6,Flu6,Flex6,Orig6,OOI_Ord6,OOI_Lat6,OG_Orig6,OG_OOI_Ord6,OG_OOI_Lat6,OffWin6,ReadTime6,Task7,TaskType7,JS_Flu7,Flu7,Flex7,Orig7,OOI_Ord7,OOI_Lat7,OG_Orig7,OG_OOI_Ord7,OG_OOI_Lat7,OffWin7,ReadTime7,Task8,TaskType8,JS_Flu8,Flu8,Flex8,Orig8,OOI_Ord8,OOI_Lat8,OG_Orig8,OG_OOI_Ord8,OG_OOI_Lat8,OffWin8,ReadTime8,Task9,TaskType9,JS_Flu9,Flu9,Flex9,Orig9,OOI_Ord9,OOI_Lat9,OG_Orig9,OG_OOI_Ord9,OG_OOI_Lat9,OffWin9,ReadTime9,Flu_Total,Flex_Total,Orig_Total,OOI_Ord_Avg,OOI_Lat_Avg,OG_Orig_Total,OG_OOI_Ord_Avg,OG_OOI_Lat_Avg
17237155,5,1456,1,34,4,6, ,13,3,13,13,55,1,1,1,1,1,1,1,5.096,1,1,5.797,0,4452,3,1,2,2,2,1,1,5.253,1,1,5.253,0,3438,2,2,1,1,1,1,1,5.096,0,1, ,0,4452,4,2,5,5,3,4,2,10.312,2,2,10.312,0,3542,5,2,3,3,2,1,3,11.822,0,0, ,0,2512,6,2,3,3,1,1,1,5.592,0,0, ,0,23309,8,3,1,1,1,0,0, ,0,0, ,0,24597,9,3,1,3,1,0,0, ,0,0, ,0,6381,7,3,1,2,1,1,2, ,0,0, ,0,2201,22,14,11,1.222,7.312,4,.556,7.121
34123078,9,2883,2,42,4,5,11,13,12,14,12,46,2,2,7,7,4,3,3,13.447,1,3,21.112,0,19429,3,1,2,2,2,0,0, ,0,0, ,0,1697,1,1,5,5,3,4,1,7.367,1,5,40.391,0,1678,6,2,6,6,4,4,1,4.44,3,1,4.44,0,6431,5,2,7,7,3,1,7,31.576,0,0, ,0,2510,4,2,3,3,2,1,3,38.723,0,0, ,0,2208,8,3,2,2,1,0,0, ,0,0, ,0,27823,9,3,3,3,3,2,2,16.067,2,2,16.067,0,6921,7,3,1,1,1,1,1,6.028,1,1,6.028,0,3943,36,23,16,2,16.807,8,1.333,17.608
20216428,6,3472,1,29,2,3, , , , , ,-88,3,1,2,0,0,0,0, ,0,0, ,5, ,2,2,1,0,0,0,0, ,0,0, ,0,1329,1,1,1,0,0,0,0, ,0,0, ,2,1482,6,2,0,0,0,0,0, ,0,0, ,0, ,5,2,0,0,0,0,0, ,0,0, ,0, ,4,2,0,0,0,0,0, ,0,0, ,0, ,9,3,1,1,1,0,0, ,0,0, ,1,3728,8,3,2,2,2,1,2,8.495,1,2,8.495,0,12379,7,3,2,2,2,0,0, ,0,0, ,0,2824,5,5,1,.667,8.495,1,.667,8.495
43928690,7,0,2,23,5,3,13,9,10,9,12,63,8,3,0,0,0,0,0, ,0,0, ,0,876,7,3,0,0,0,0,0, ,0,0, ,0, ,9,3,0,0,0,0,0, ,0,0, ,0, ,2,2,2,2,2,1,2,23.912,1,2,23.912,0,15278,1,1,2,2,2,2,1,3.382,1,2,10.073,0,5220,3,1,3,3,2,2,2,16.714,0,0, ,0,3884,5,2,5,5,4,0,0, ,0,0, ,0,3928,4,2,2,2,2,1,1,4.582,0,0, ,1,64567,6,2,2,2,2,0,0, ,0,0, ,0,1688,16,14,6,1,12.148,2,.667,16.993
96426580,9,1448,2,48,3,4,9, ,3,10,5,51,1,1,4,4,2,2,1,15.171,1,1,57.975,1,2475,3,1,2,2,2,2,1,44.41,1,2,48.867,0,3075,2,2,4,4,2,2,1,15.171,1,1,36.809,0,2475,5,2,7,7,3,0,0, ,0,0, ,0,9628,6,2,5,5,4,2,4,35.561,1,4,35.561,0,11603,4,2,4,4,3,0,0, ,0,0, ,0,2608,9,3,1,1,1,1,1,15.829,1,1,15.829,0,15272,8,3,2,2,2,0,0, ,0,0, ,0,39876,7,3,1,1,1,0,0, ,0,0, ,0,4454,27,19,8,.889,33.789,5,1,39.008
95328366,3,1163,1,32,4,6, , ,4, ,7,46,2,2,7,7,1,6,2,8.058,2,2,14.767,0,3938,3,1,3,3,2,3,1,7.499,1,3,31.824,0,5374,1,1,4,4,2,3,1,7.757,0,0, ,0,1967,5,2,7,7,3,1,5,20.946,0,0, ,0,2660,6,2,5,5,4,3,3,14.944,2,3,14.944,0,1966,4,2,2,2,2,2,1,11.98,1,1,11.98,0,2279,8,3,4,4,2,4,1,9.685,2,3,40.561,0,8800,7,3,2,2,2,1,2,31.484,1,2,31.484,1,14827,9,3,4,4,2,1,4,6.921,1,4,6.921,0,39859,38,20,24,2.222,13.253,10,2,21.783
57272341,8,654,2,21,2,3,7,12,8,9,9,31,1,1,3,3,2,1,3,14.352,0,0, ,0,4529,3,1,3,3,2,1,3,15.828,1,3,15.828,0,1464,2,2,3,3,2,1,3,14.352,1,3,14.352,0,4529,4,2,3,3,2,2,2,23.656,2,2,23.656,0,1798,6,2,4,4,4,2,2,7.64,1,2,7.64,0,2150,5,2,4,4,3,1,4,7.178,0,0, ,0,1794,7,3,4,4,4,3,1,9.745,2,1,9.745,0,2390,9,3,5,5,2,2,3,3.728,0,3, ,0,3124,8,3,3,3,1,2,1,5.011,0,0, ,0,17250,31,21,14,2.111,10.892,7,1.556,14.244
70798705,5,3, , , , , , , , , ,-88,1,1,0,0,0,0,0, ,0,0, ,1, ,3,1,0,0,0,0,0, ,0,0, ,1, ,2,2,0,0,0,0,0, ,0,0, ,1, ,4,2,0,0,0,0,0, ,0,0, ,1, ,6,2,0,0,0,0,0, ,0,0, ,1, ,5,2,0,0,0,0,0, ,0,0, ,1, ,7,3,1,1,1,0,0, ,0,0, ,0,4139,9,3,2,2,2,2,1,15.272,0,1, ,0,1791,8,3,2,2,1,1,2,8.99,0,0, ,0,1912,5,4,3,1,12.131,0,.333,-99
27637402,3,0,2,26,4,5,9,12,5,12,13,49,3,1,3,3,1,1,2,6.739,1,2,6.739,0,5979,2,2,6,6,4,3,4,28.141,2,4,31.605,0,2224,1,1,7,7,5,5,2,15.461,1,7,49.292,0,3510,4,2,10,10,5,6,1,4.521,3,3,14.121,0,4425,5,2,5,5,3,1,4,14.3,0,0, ,1,1957,6,2,6,6,4,2,3,11.884,2,3,11.884,0,2251,7,3,1,1,1,1,1,1.446,1,1,1.446,1,2478,9,3,1,0,1,1,1, ,0,1, ,1,2046,8,3,0,0,0,0,0, ,0,0, ,1, ,38,24,20,2.25,11.785,10,2.625,19.181
88980909,2,602,1,29,2,5, ,10,8, , ,58,1,1,5,5,4,2,4,13.609,0,0, ,0,1168,3,1,3,3,2,2,2,7.409,1,3,10.095,0,1386,2,2,5,5,4,2,4,13.609,1,4,13.609,0,1168,6,2,4,4,1,2,1,6.904,2,1,6.904,0,1990,4,2,6,6,5,4,1,2.654,3,1,2.654,0,1816,5,2,10,10,2,2,7,24.582,0,0, ,0,1434,8,3,8,8,3,8,1,2.228,4,3,13.608,0,3217,9,3,1,1,1,0,0, ,0,0, ,0,1366,7,3,0,0,0,0,0, ,0,0, ,0,3804,38,19,20,2,9.564,11,1.5,9.374
