FamilyID,InstanceZ
11964,
11964,
11964,
11964,
11964,
11964,
11964,
11964,
11964,0.0.0.0.0.1
11964,
11964,
11964,
11964,
11964,
11964,
11964,
11964,
11964,
11964,1.0.0.0.0.1
11964,
11964,
11964,
11964,
11964,
11964,1.0.1.0.0.1
11964,
11964,
11964,1.1.1.0.0.1
11964,
11964,
11964,
11964,1.1.1.1.0.1
11964,
11964,
11964,
11964,
11964,
11964,
11964,
11964,
11964,
11964,
11964,
11964,
11964,
11964,
11964,1.1.1.1.1.1
11964,
11964,
11964,
11964,
11964,
11964,
11964,
11965,0.0.0.0.0.0
11965,
11965,
11965,
11965,
11965,
11965,
11965,
11965,
11965,
11965,0.0.0.1.0.0
11965,
11965,
11965,
11965,
11965,0.1.0.1.0.0
11965,
11965,
11965,
11965,
11965,
11965,
11965,
11965,
11965,
11965,
11965,
11965,
11965,
11965,
11965,
11965,
11965,0.1.0.1.0.1
11965,
11965,
11965,
11965,0.1.1.1.0.1
11965,
11965,
11965,
11965,
11965,
11965,
11965,
11965,
11965,1.1.1.1.0.1
11965,
11965,
11965,
11965,
11965,
11965,
11965,
11965,
11965,
11965,
11965,
11965,
11965,
11965,
11965,
11965,
11965,
11965,
11965,
11965,
11965,
11965,
11965,1.1.1.1.1.1
11965,
11965,
11965,
11965,
11965,
11965,
11965,
11965,
11965,
11965,
11965,
11965,
11965,
11965,
11965,
11965,1.1.1.2.1.1
11965,
11965,
11965,
11965,
11965,1.2.1.2.1.1
11965,
11965,
11965,2.2.1.2.1.1
11965,
11965,
11965,
11965,
11965,
11965,
11965,2.2.1.2.2.1
11965,
11965,
11965,
11965,
11965,
11965,
11965,
11965,2.2.1.2.3.1
11965,
11965,2.2.1.2.4.1
11965,
11965,1.2.1.2.4.1
11965,
11965,
11965,
11965,
11965,
11965,
11965,
11965,
11965,
11991,0.0.0.0.0.0
11991,
11991,
11991,
11991,1.0.0.0.0.0
11991,
11991,
11991,1.0.0.0.0.1
11991,
11991,
11991,
11991,
11991,
11991,
11991,1.0.0.1.0.1
11991,
11991,
11991,
11991,
11991,
11991,1.0.0.1.1.1
11991,
11991,
11991,
11991,
11991,
11991,1.0.1.1.1.1
