"","frequency","count","mass","cum_mass","MAUI","UI","norm_rank","TypeItem","sample_size"
"370",19,1,19,339,0.30594243268338,0.936666666666667,0.388888888888889,"F2",300
"371",18,1,18,357,0.323119777158774,0.94,0.425925925925926,"F2",300
"372",17,1,17,374,0.339368616527391,0.943333333333333,0.462962962962963,"F2",300
"373",16,2,32,406,0.362116991643454,0.946666666666667,0.5,"F2",300
"374",15,1,15,421,0.383936861652739,0.95,0.537037037037037,"F2",300
"375",14,1,14,435,0.397400185701021,0.953333333333333,0.574074074074074,"F2",300
"376",11,2,22,457,0.414113277623027,0.963333333333333,0.611111111111111,"F2",300
"377",10,2,20,477,0.433611884865367,0.966666666666667,0.648148148148148,"F2",300
"378",9,2,18,495,0.45125348189415,0.97,0.685185185185185,"F2",300
"379",8,3,24,519,0.47075208913649,0.973333333333333,0.722222222222222,"F2",300
"380",7,5,35,554,0.498142989786444,0.976666666666667,0.759259259259259,"F2",300
"381",6,5,30,584,0.528319405756732,0.98,0.796296296296296,"F2",300
"382",5,6,30,614,0.556174558960074,0.983333333333333,0.833333333333333,"F2",300
"383",4,7,28,642,0.583101207056639,0.986666666666667,0.87037037037037,"F2",300
"384",3,18,54,696,0.62116991643454,0.99,0.907407407407407,"F2",300
"385",2,48,96,792,0.690807799442897,0.993333333333333,0.944444444444444,"F2",300
"386",1,285,285,1077,0.867688022284123,0.996666666666667,0.981481481481482,"F2",300
"387",63,1,63,63,0.0275831873905429,0.79,0.0208333333333333,"F3",300
"388",45,1,45,108,0.0748686514886165,0.85,0.0625,"F3",300
"389",39,1,39,147,0.111646234676007,0.87,0.104166666666667,"F3",300
"390",35,1,35,182,0.144045534150613,0.883333333333333,0.145833333333333,"F3",300
"391",34,1,34,216,0.174255691768827,0.886666666666667,0.1875,"F3",300
"392",32,1,32,248,0.203152364273205,0.893333333333333,0.229166666666667,"F3",300
"393",29,1,29,277,0.229859894921191,0.903333333333333,0.270833333333333,"F3",300
"394",24,1,24,301,0.253064798598949,0.92,0.3125,"F3",300
"395",22,1,22,323,0.273204903677758,0.926666666666667,0.354166666666667,"F3",300
"396",21,2,42,365,0.30122591943958,0.93,0.395833333333333,"F3",300
"397",19,1,19,384,0.327933450087566,0.936666666666667,0.4375,"F3",300
"398",17,1,17,401,0.34369527145359,0.943333333333333,0.479166666666667,"F3",300
"399",12,1,12,413,0.356392294220665,0.96,0.520833333333333,"F3",300
"400",11,1,11,424,0.36646234676007,0.963333333333333,0.5625,"F3",300
"401",10,2,20,444,0.380035026269702,0.966666666666667,0.604166666666667,"F3",300
"402",9,4,36,480,0.404553415061296,0.97,0.645833333333333,"F3",300
"403",8,1,8,488,0.423817863397548,0.973333333333333,0.6875,"F3",300
"404",7,2,14,502,0.433450087565674,0.976666666666667,0.729166666666667,"F3",300
"405",6,6,36,538,0.455341506129597,0.98,0.770833333333333,"F3",300
"406",5,14,70,608,0.501751313485114,0.983333333333333,0.8125,"F3",300
"407",4,14,56,664,0.5569176882662,0.986666666666667,0.854166666666667,"F3",300
"408",3,24,72,736,0.612959719789842,0.99,0.895833333333333,"F3",300
"409",2,59,118,854,0.69614711033275,0.993333333333333,0.9375,"F3",300
"410",1,288,288,1142,0.873905429071804,0.996666666666667,0.979166666666667,"F3",300
"411",172,1,172,172,0.0455749867514573,0.426666666666667,0.0166666666666667,"I1",300
"412",86,1,86,258,0.113937466878643,0.713333333333333,0.05,"I1",300
"413",81,1,81,339,0.15818759936407,0.73,0.0833333333333333,"I1",300
"414",74,1,74,413,0.199258081611023,0.753333333333333,0.116666666666667,"I1",300
"415",53,1,53,466,0.232909379968203,0.823333333333333,0.15,"I1",300
"416",40,1,40,506,0.257551669316375,0.866666666666667,0.183333333333333,"I1",300
"417",36,1,36,542,0.277689454160042,0.88,0.216666666666667,"I1",300
"418",31,1,31,573,0.295442501324854,0.896666666666667,0.25,"I1",300
"419",30,1,30,603,0.311605723370429,0.9,0.283333333333333,"I1",300
"420",29,2,58,661,0.33492315845257,0.903333333333333,0.316666666666667,"I1",300
"421",26,1,26,687,0.357180710121887,0.913333333333333,0.35,"I1",300
"422",25,1,25,712,0.3706942236354,0.916666666666667,0.383333333333333,"I1",300
"423",20,1,20,732,0.382617912029677,0.933333333333333,0.416666666666667,"I1",300
"424",19,2,38,770,0.397986221515633,0.936666666666667,0.45,"I1",300
"425",18,1,18,788,0.412824589295178,0.94,0.483333333333333,"I1",300
"426",15,1,15,803,0.42156862745098,0.95,0.516666666666667,"I1",300
"427",14,2,28,831,0.432962374138845,0.953333333333333,0.55,"I1",300
"428",13,4,52,883,0.454160042395337,0.956666666666667,0.583333333333333,"I1",300
"429",12,3,36,919,0.477477477477477,0.96,0.616666666666667,"I1",300
"430",11,5,55,974,0.501589825119237,0.963333333333333,0.65,"I1",300
"431",10,1,10,984,0.518812930577636,0.966666666666667,0.683333333333333,"I1",300
"432",9,5,45,1029,0.533386327503975,0.97,0.716666666666667,"I1",300
"433",8,4,32,1061,0.553789083200848,0.973333333333333,0.75,"I1",300
"434",7,6,42,1103,0.573396926338103,0.976666666666667,0.783333333333333,"I1",300
"435",6,8,48,1151,0.597244303126656,0.98,0.816666666666667,"I1",300
