item,partID,flexibility,fluency,sum_MAUI,avg_MAUI,sum_UI95,avg_UI95,sum_UI99,avg_UI99
U1,12942582,2,5,3.0391211146838155,0.6078242229367631,4,0.8,3,0.6
U1,13079517,4,7,3.84927652733119,0.5498966467615986,6,0.8571428571428571,2,0.2857142857142857
U1,13131614,1,1,0.7529474812433011,0.7529474812433011,1,1,1,1
U1,13167330,2,4,1.8357449088960343,0.45893622722400856,3,0.75,1,0.25
U1,13169420,5,6,1.857449088960343,0.30957484816005715,2,0.3333333333333333,1,0.16666666666666666
U1,13211126,1,4,2.727090032154341,0.6817725080385852,3,0.75,2,0.5
U1,13317608,2,4,1.9493569131832797,0.48733922829581994,4,1,0,0
U1,13357561,4,5,2.8132368703108255,0.5626473740621651,4,0.8,2,0.4
U1,13461749,2,2,0.7088692390139336,0.3544346195069668,1,0.5,0,0
U1,13488053,4,7,3.7714362272240085,0.5387766038891441,5,0.7142857142857143,2,0.2857142857142857
U1,13751919,4,8,3.5034833869239015,0.4379354233654877,4,0.5,2,0.25
U1,13835981,4,5,2.979501607717042,0.5959003215434084,4,0.8,3,0.6
U1,13935730,5,7,3.82489281886388,0.5464132598376972,5,0.7142857142857143,3,0.42857142857142855
U1,13946150,3,3,1.1662647374062165,0.38875491246873883,2,0.6666666666666666,1,0.3333333333333333
U1,14024491,1,1,0.6420150053590568,0.6420150053590568,1,1,0,0
U1,14585292,1,2,0.572749196141479,0.2863745980707395,0,0,0,0
U1,14847519,1,1,0.15179528403001072,0.15179528403001072,0,0,0,0
U1,14903293,3,4,2.5060289389067525,0.6265072347266881,3,0.75,1,0.25
U1,15121427,3,5,2.168006430868167,0.4336012861736334,2,0.4,1,0.2
U1,15204651,4,7,2.644694533762058,0.3778135048231511,3,0.42857142857142855,1,0.14285714285714285
U1,15316811,1,2,0.8289121114683816,0.4144560557341908,1,0.5,0,0
U1,15331938,4,8,5.188370846730975,0.6485463558413719,6,0.75,4,0.5
U1,15385771,2,3,1.7861736334405145,0.5953912111468381,2,0.6666666666666666,2,0.6666666666666666
U1,15437130,1,1,0.4504287245444802,0.4504287245444802,1,1,0,0
U1,15545914,2,2,1.3883976420150055,0.6941988210075027,2,1,1,0.5
U1,15585840,1,3,1.894828510182208,0.6316095033940693,2,0.6666666666666666,1,0.3333333333333333
U1,15898793,4,5,3.2814844587352625,0.6562968917470525,4,0.8,3,0.6
U1,15979437,2,7,3.3669614147909965,0.4809944878272852,3,0.42857142857142855,3,0.42857142857142855
U1,15979710,2,3,0.4371650589496249,0.14572168631654162,0,0,0,0
U1,16016222,2,2,0.2337888531618435,0.11689442658092175,0,0,0,0
U1,16204381,3,3,1.6283494105037513,0.5427831368345838,2,0.6666666666666666,1,0.3333333333333333
U1,16281127,2,2,1.1008842443729903,0.5504421221864951,1,0.5,1,0.5
U1,16283242,5,8,4.004421221864952,0.500552652733119,5,0.625,2,0.25
U1,16509909,6,14,8.82261521972133,0.6301868014086665,12,0.8571428571428571,7,0.5
U1,16687093,3,5,3.214496248660236,0.6428992497320472,5,1,1,0.2
U1,16729653,2,2,0.14308681672025725,0.07154340836012862,0,0,0,0
U1,16819699,1,1,0.5479635584137191,0.5479635584137191,1,1,0,0
U1,16824735,1,3,0.8161843515541265,0.27206145051804215,1,0.3333333333333333,0,0
U1,16880593,3,4,3.046891747052519,0.7617229367631297,4,1,3,0.75
U1,16906699,1,1,0.03938906752411576,0.03938906752411576,0,0,0,0
U1,16960049,2,6,2.7932743837084675,0.4655457306180779,5,0.8333333333333334,1,0.16666666666666666
U1,17116861,2,2,0.45538585209003213,0.22769292604501606,1,0.5,0,0
U1,17180250,2,3,0.6109324758842444,0.20364415862808147,1,0.3333333333333333,0,0
U1,17237155,2,2,1.2359324758842445,0.6179662379421222,2,1,1,0.5
U1,17359263,2,5,3.22481243301179,0.644962486602358,3,0.6,3,0.6
