count,cumsum,mass,MAUI,pct_giving,TypeItem,sample_size
6,477,48,0.4445534838076546,0.03,U2,200
5,522,45,0.4901864573110893,0.025,U2,200
4,578,56,0.5397448478900884,0.02,U2,200
3,638,60,0.5966633954857704,0.015,U2,200
2,726,88,0.6692836113837095,0.01,U2,200
1,1019,293,0.8562315996074583,0.005,U2,200
69,69,69,0.039383561643835614,0.345,U3,200
57,126,57,0.1113013698630137,0.285,U3,200
39,165,39,0.1660958904109589,0.195,U3,200
32,197,32,0.20662100456621005,0.16,U3,200
21,218,21,0.23687214611872145,0.105,U3,200
20,238,20,0.2602739726027397,0.1,U3,200
13,316,78,0.3162100456621005,0.065,U3,200
12,328,12,0.3675799086757991,0.06,U3,200
10,338,10,0.3801369863013699,0.05,U3,200
8,362,24,0.3995433789954338,0.04,U3,200
7,390,28,0.4292237442922374,0.035,U3,200
6,420,30,0.4623287671232877,0.03,U3,200
5,470,50,0.5079908675799086,0.025,U3,200
4,502,32,0.5547945205479452,0.02,U3,200
3,571,69,0.6124429223744292,0.015,U3,200
2,655,84,0.6997716894977168,0.01,U3,200
1,876,221,0.8738584474885844,0.005,U3,200
130,130,130,0.05930656934306569,0.43333333333333335,F1,300
72,202,72,0.15145985401459855,0.24,F1,300
31,233,31,0.19844890510948904,0.10333333333333333,F1,300
28,261,28,0.22536496350364962,0.09333333333333334,F1,300
26,287,26,0.25,0.08666666666666667,F1,300
24,311,24,0.2728102189781022,0.08,F1,300
23,334,23,0.29425182481751827,0.07666666666666666,F1,300
22,356,22,0.3147810218978102,0.07333333333333333,F1,300
16,388,32,0.33941605839416056,0.05333333333333334,F1,300
14,444,56,0.3795620437956204,0.04666666666666667,F1,300
12,456,12,0.41058394160583944,0.04,F1,300
11,467,11,0.4210766423357664,0.03666666666666667,F1,300
10,497,30,0.4397810218978102,0.03333333333333333,F1,300
9,524,27,0.4657846715328467,0.03,F1,300
8,548,24,0.48905109489051096,0.02666666666666667,F1,300
7,583,35,0.5159671532846716,0.023333333333333334,F1,300
6,619,36,0.5483576642335767,0.02,F1,300
5,639,20,0.573905109489051,0.016666666666666666,F1,300
4,699,60,0.6104014598540146,0.013333333333333334,F1,300
3,759,60,0.6651459854014599,0.01,F1,300
2,843,84,0.7308394160583942,0.006666666666666667,F1,300
1,1096,253,0.8845802919708029,0.0033333333333333335,F1,300
42,42,42,0.019498607242339833,0.14,F2,300
40,82,40,0.057567316620241414,0.13333333333333333,F2,300
39,121,39,0.09424326833797586,0.13,F2,300
33,154,33,0.127669452181987,0.11,F2,300
29,183,29,0.1564531104921077,0.09666666666666666,F2,300
28,211,28,0.1829155060352832,0.09333333333333334,F2,300
23,257,46,0.21727019498607242,0.07666666666666666,F2,300
22,279,22,0.2488393686165274,0.07333333333333333,F2,300
21,300,21,0.26880222841225626,0.07,F2,300
20,320,20,0.2878365831012071,0.06666666666666667,F2,300
19,339,19,0.3059424326833798,0.06333333333333334,F2,300
18,357,18,0.3231197771587744,0.06,F2,300
17,374,17,0.3393686165273909,0.056666666666666664,F2,300
16,406,32,0.362116991643454,0.05333333333333334,F2,300
15,421,15,0.3839368616527391,0.05,F2,300
14,435,14,0.39740018570102137,0.04666666666666667,F2,300
11,457,22,0.4141132776230269,0.03666666666666667,F2,300
