partID,sum_MAUI,avg_MAUI,sum_UI95,avg_UI95,TypeItem
97148344,2.418939830516737,0.8063132768389123,3,1,U1
97200111,10.85311439058921,0.5426557195294606,15,0.75,U1
97649442,12.113403575608343,0.6729668653115746,16,0.8888888888888888,U1
97710976,3.1021500556793984,0.4431642936684855,4,0.5714285714285714,U1
97860649,0.8931847968545216,0.4465923984272608,1,0.5,U1
97981326,3.513575994936944,0.5855959991561572,5,0.8333333333333334,U1
98147545,3.9803903447039573,0.7960780689407915,5,1,U1
98173903,2.753207909744607,0.6883019774361517,4,1,U1
98381390,7.542451607727621,0.6856774188843291,10,0.9090909090909091,U1
98630759,6.8394140582346825,0.7599348953594092,8,0.8888888888888888,U1
98889977,5.498004676438606,0.6872505845548258,6,0.75,U1
99024207,0.8475316732197465,0.42376583660987327,1,0.5,U1
99506979,2.0873900377128245,0.6957966792376082,2,0.6666666666666666,U1
99567459,1.666026997083729,0.41650674927093223,2,0.5,U1
99754236,1.0843162953254697,0.5421581476627348,2,1,U1
99925359,1.970511140235911,0.49262778505897775,3,0.75,U1
10452422,4.09066569375563,0.5843808133936614,5,0.7142857142857143,U2
10463558,7.9898112054681425,0.7263464732243766,10,0.9090909090909091,U2
10669095,2.6682617624953626,0.5336523524990726,3,0.6,U2
10796470,3.356081315583107,0.47944018794044385,4,0.5714285714285714,U2
10856261,4.023520340635727,0.6705867234392878,6,1,U2
10904270,2.083878481832421,0.4167756963664842,3,0.6,U2
10966863,2.8299072694003273,0.4716512115667212,4,0.6666666666666666,U2
10998955,12.272810514132846,0.6459373954806761,17,0.8947368421052632,U2
11010546,7.666510887283649,0.6388759072736374,9,0.75,U2
11372951,2.2817697937458417,0.7605899312486138,3,1,U2
11609688,2.411774736547259,0.4823549473094518,3,0.6,U2
11631264,2.170424104478064,0.542606026119516,2,0.5,U2
11708310,1.970105030278745,0.394021006055749,3,0.6,U2
11717897,9.23118501215886,0.615412334143924,12,0.8,U2
12138126,5.841982701264138,0.6491091890293487,8,0.8888888888888888,U2
12157740,6.0445775116433795,0.5037147926369483,8,0.6666666666666666,U2
12211745,4.58508582522013,0.5731357281525162,6,0.75,U2
12418187,0.09664005322687957,0.04832002661343979,0,0,U2
12876259,1.2649700598802396,0.3162425149700599,2,0.5,U2
12942582,1.5523952095808382,0.38809880239520955,2,0.5,U2
13079517,13.641802553421082,0.5931218501487427,19,0.8260869565217391,U2
13131614,0.8905262471483781,0.44526312357418907,2,1,U2
13461749,0.36676646706586824,0.36676646706586824,1,1,U2
13488053,8.90441361999278,0.5936275746661853,13,0.8666666666666667,U2
13835981,13.332208207946165,0.7016951688392719,17,0.8947368421052632,U2
13946150,0.9496007984031936,0.3165335994677312,2,0.6666666666666666,U2
14024491,0.91583499667332,0.91583499667332,1,1,U2
14585292,4.518042692446755,0.7530071154077926,5,0.8333333333333334,U2
14847519,1.4666002202671984,0.7333001101335992,2,1,U2
14903293,1.6091151031270792,0.5363717010423598,3,1,U2
15121427,1.9836992681304058,0.49592481703260144,3,0.75,U2
15331938,4.894520259225148,0.6118150324031435,6,0.75,U2
15385771,2.6559530465938326,0.4426588410989721,3,0.5,U2
15545914,12.117504611944984,0.6377634006286833,16,0.8421052631578947,U2
15585840,2.7716234198270127,0.6929058549567532,3,0.75,U2
15979710,1.2797737857618097,0.3199434464404524,3,0.75,U2
16204381,2.2771412177828703,0.5692853044457176,3,0.75,U2
16281127,2.170492348636061,0.5426230871590153,3,0.75,U2
16283242,6.979204461622675,0.5816003718018896,9,0.75,U2
16509909,16.721173583717995,0.6193027253228887,22,0.8148148148148148,U2
16687093,12.679637450382087,0.7044243027990048,16,0.8888888888888888,U2
16824735,1.473598044250801,0.36839951106270025,1,0.25,U2
16880593,3.7165204221092933,0.5309314888727562,4,0.5714285714285714,U2
16906699,5.1236198794403816,0.5123619879440381,6,0.6,U2
17116861,0.6806387225548902,0.2268795741849634,1,0.3333333333333333,U2
17180250,0.3183632734530938,0.3183632734530938,1,1,U2
17237155,2.1717347221960743,0.7239115740653582,3,1,U2
17359263,3.5718562874251494,0.39687292082501663,4,0.4444444444444444,U2
17406806,0.36676646706586824,0.36676646706586824,1,1,U2
17523206,2.1640053226879576,0.7213351075626525,3,1,U2
17853604,2.74750499001996,0.91583499667332,3,1,U2
18449061,2.8420807911048107,0.47368013185080177,3,0.5,U2
18513076,7.191547630809343,0.5992956359007786,10,0.8333333333333334,U2
18595102,4.228926158168591,0.6041323083097987,6,0.8571428571428571,U2
18598612,9.483994241469658,0.6774281601049755,11,0.7857142857142857,U2
18775629,4.538055022871296,0.5042283358745884,7,0.7777777777777778,U2
19013676,1.9308050565535595,0.6436016855178531,2,0.6666666666666666,U2
19168921,5.194855733032251,0.5772061925591391,7,0.7777777777777778,U2
19296629,1.751996007984032,0.5839986693280107,2,0.6666666666666666,U2
19557274,2.2690082223513834,0.3781680370585639,2,0.3333333333333333,U2
19650161,0.5357618097139055,0.26788090485695276,1,0.5,U2
19883708,1.4281437125748502,0.7140718562874251,2,1,U2
20038333,13.163406011477223,0.5983366368853283,18,0.8181818181818182,U2
20106780,3.4651679501201134,0.5775279916866856,4,0.6666666666666666,U2
20151422,1.9099153950624015,0.3819830790124803,3,0.6,U2
20270169,3.2461743180306053,0.541029053005101,4,0.6666666666666666,U2
20501522,1.9367930805056552,0.4841982701264138,3,0.75,U2
20533087,3.3733219153551492,0.5622203192258582,5,0.8333333333333334,U2
20564348,0.22122421823020624,0.22122421823020624,0,0,U2
20831211,2.3598255891609807,0.5899563972902452,3,0.75,U2
20831489,0.8040585495675316,0.26801951652251055,1,0.3333333333333333,U2
21157246,4.392843762313561,0.4880937513681734,5,0.5555555555555556,U2
21181806,19.236128279025237,0.6633147682422496,26,0.896551724137931,U2
21713946,5.618316764529194,0.7022895955661492,7,0.875,U2
21792846,6.624872809950378,0.6624872809950377,8,0.8,U2
22255793,0.07052561543579508,0.07052561543579508,0,0,U2
22264090,6.985502394815763,0.6985502394815762,9,0.9,U2
22272054,1.5256154357950766,0.5085384785983589,2,0.6666666666666666,U2
22292741,3.8636164975236222,0.6439360829206037,4,0.6666666666666666,U2
22311581,2.4481037924151696,0.48962075848303394,4,0.8,U2
22445007,3.7739437292647606,0.5391348184663944,6,0.8571428571428571,U2
22837508,1.7267132401862941,0.575571080062098,2,0.6666666666666666,U2
22904404,2.4902843839191817,0.6225710959797954,3,0.75,U2
23121994,0.026114437791084497,0.026114437791084497,0,0,U2
23480181,6.887180243537751,0.5297830956567501,11,0.8461538461538461,U2
23793463,1.8130405854956753,0.6043468618318918,2,0.6666666666666666,U2
23985235,11.110047753573209,0.5847393554512215,15,0.7894736842105263,U2
24211189,7.550566173011541,0.6292138477509618,8,0.6666666666666666,U2
24316171,0.9863606121091151,0.24659015302727877,1,0.25,U2
24436120,2.3221889554224884,0.3870314925704147,4,0.6666666666666666,U2
24724915,1.2090818363273454,0.30227045908183636,1,0.25,U2
24802850,1.7524267658220427,0.4381066914555107,2,0.5,U2
24871846,2.1839282599848846,0.5459820649962212,2,0.5,U2
25015829,2.303317179652633,0.3838861966087722,2,0.3333333333333333,U2
25033845,3.1473719228210246,0.6294743845642049,4,0.8,U2
25044406,1.4810379241516967,0.7405189620758483,2,1,U2
25327766,4.763404809734219,0.5954256012167773,6,0.75,U2
26048904,5.541629646170412,0.5541629646170412,6,0.6,U2
26197707,3.6316993844027157,0.5188141977718165,5,0.7142857142857143,U2
26458554,5.182517588671301,0.5758352876301445,7,0.7777777777777778,U2
26534356,4.071024617431803,0.5088780771789754,6,0.75,U2
26779935,0.91583499667332,0.91583499667332,1,1,U2
27011024,5.306133909550929,0.6632667386938661,8,1,U2
27320564,2.4416455424668357,0.4069409237444726,4,0.6666666666666666,U2
27411237,7.087959722978843,0.5906633102482369,9,0.75,U2
27560026,2.311377245508982,0.5778443113772455,3,0.75,U2
27743780,3.268708028441433,0.46695828977734755,5,0.7142857142857143,U2
28081277,4.804357996142771,0.6005447495178464,6,0.75,U2
28288231,1.0835711187872425,0.36119037292908085,1,0.3333333333333333,U2
28671043,5.2618141653060215,0.6577267706632527,7,0.875,U2
28825165,2.2659680638722555,0.5664920159680639,3,0.75,U2
28900889,7.117223048448848,0.7117223048448849,10,1,U2
28932973,0.09913506320691949,0.09913506320691949,0,0,U2
28982752,5.607374080969023,0.5607374080969022,7,0.7,U2
29091592,1.7979041916167664,0.4494760479041916,3,0.75,U2
29186730,5.85458461700478,0.8363692310006828,7,1,U2
29630890,1.5573592478137142,0.519119749271238,3,1,U2
29778056,0.9419494344644045,0.47097471723220224,1,0.5,U2
29856893,3.7629055003285132,0.537557928618359,5,0.7142857142857143,U2
29895761,2.2765762972437003,0.4553152594487401,4,0.8,U2
29915985,2.150033266799734,0.7166777555999113,3,1,U2
30006367,0.5723552894211577,0.19078509647371922,0,0,U2
30043422,5.613107119095143,0.7016383898868929,8,1,U2
30211207,0.666833000665336,0.666833000665336,1,1,U2
30291580,1.352461743180306,0.676230871590153,2,1,U2
30370553,2.977145136818032,0.5954290273636065,4,0.8,U2
30519718,0.09913506320691949,0.09913506320691949,0,0,U2
30576094,4.508592934320389,0.5635741167900487,5,0.625,U2
30625736,0.14404524284763806,0.14404524284763806,0,0,U2
30631482,0.7659680638722555,0.38298403193612773,1,0.5,U2
31049837,0.302727877578177,0.302727877578177,0,0,U2
31155613,3.893509098308238,0.38935090983082377,4,0.4,U2
31678003,2.728875582168995,0.6822188955422488,3,0.75,U2
32262733,2.775713525635749,0.46261892093929147,4,0.6666666666666666,U2
32363935,2.34224712510348,0.78074904170116,3,1,U2
32403350,3.15487875276097,0.630975750552194,4,0.8,U2
32648968,7.10662246897218,0.64605658808838,9,0.8181818181818182,U2
32695087,1.158682634730539,0.28967065868263475,1,0.25,U2
32716418,1.0855937651567067,0.3618645883855689,1,0.3333333333333333,U2
32723065,2.2940785096473717,0.5735196274118429,3,0.75,U2
32725290,0.7666333998669328,0.3833166999334664,1,0.5,U2
33169488,3.0296586913908996,0.4328083844844142,3,0.42857142857142855,U2
33602703,3.7499938866524225,0.4687492358315528,6,0.75,U2
33737973,6.393836488235941,0.71042627647066,8,0.8888888888888888,U2
33876433,2.647538256819694,0.44125637613661567,4,0.6666666666666666,U2
34000848,1.1240480204639265,0.5620240102319632,1,0.5,U2
34007163,1.810281329859474,0.4525703324648685,3,0.75,U2
34263940,3.6320691949434463,0.7264138389886893,4,0.8,U2
34315648,2.2526242014353173,0.7508747338117724,3,1,U2
34496562,3.0265874580598884,0.5044312430099814,5,0.8333333333333334,U2
34500041,0.09913506320691949,0.09913506320691949,0,0,U2
34688696,4.340341161277271,0.6200487373253244,7,1,U2
34726473,4.5596396204355045,0.6513770886336434,6,0.8571428571428571,U2
34728627,3.6008784265865352,0.6001464044310891,5,0.8333333333333334,U2
34780016,2.9622966823016266,0.5924593364603253,4,0.8,U2
35111401,4.215851986685129,0.7026419977808548,6,1,U2
35343885,6.127777601264872,0.6127777601264871,9,0.9,U2
35391234,0.5673652694610778,0.5673652694610778,1,1,U2
35523113,0.026114437791084497,0.026114437791084497,0,0,U2
35738256,2.5806348468112317,0.43010580780187196,3,0.5,U2
35742058,5.988483485933589,0.49904029049446574,8,0.6666666666666666,U2
35820728,6.008220712187636,0.6008220712187636,8,0.8,U2
35835645,2.238757710431663,0.4477515420863326,4,0.8,U2
35874066,2.527627820292491,0.5055255640584982,3,0.6,U2
36238848,2.6524651525091776,0.4420775254181962,4,0.6666666666666666,U2
36268477,0.026114437791084497,0.026114437791084497,0,0,U2
